Latitud,Longitud
6.752,-72.930
6.810,-73.139
6.799,-73.123
6.815,-73.122
6.805,-73.100
6.793,-73.173
6.752,-73.135
6.822,-73.153
6.744,-73.123
6.790,-73.148
6.789,-73.190
6.805,-73.179
6.789,-73.199
6.796,-73.166
6.861,-73.508
6.872,-73.281
6.792,-73.117
6.233,-73.748
6.558,-73.538
7.336,-73.242
6.780,-73.122
6.767,-73.126
6.769,-73.156
6.855,-73.127
6.429,-73.719
6.803,-73.021
6.739,-73.189
6.785,-73.099
6.765,-73.131
5.937,-73.796
6.746,-73.170
6.761,-73.105
6.742,-72.911
6.768,-73.151
6.759,-73.146
6.861,-73.258
6.797,-73.126
7.035,-72.891
6.752,-73.106
6.820,-73.194
6.803,-73.118
6.791,-73.177
7.238,-73.835
6.734,-73.503
6.783,-73.050
6.775,-73.129
6.764,-73.156
6.335,-73.689
6.251,-73.034
6.232,-73.487
7.213,-73.147
6.768,-73.163
6.690,-73.499
6.757,-73.174
6.797,-73.137
6.780,-73.066
6.600,-73.745
6.107,-73.756
6.616,-73.475
6.827,-73.135
6.818,-73.111
6.797,-73.130
6.724,-73.166
6.638,-73.166
6.656,-73.205
6.763,-73.319
6.781,-73.052
6.747,-72.905
6.779,-73.087
6.735,-73.134
6.759,-73.138
6.773,-73.133
6.033,-73.702
6.878,-72.910
6.508,-73.521
6.780,-73.083
6.767,-73.130
6.686,-73.173
6.800,-73.139
6.815,-73.184
6.783,-73.099
6.025,-73.671
6.785,-73.078
6.839,-73.123
7.037,-73.417
5.989,-73.739
6.710,-73.175
6.770,-73.106
6.785,-73.121
6.832,-73.092
6.781,-73.113
6.808,-73.182
6.774,-73.060
6.774,-73.129
6.625,-73.389
6.702,-73.127
6.483,-73.604
6.804,-72.975
6.599,-73.466
6.730,-73.205
6.751,-73.171
6.800,-73.168
7.029,-73.120
6.769,-73.150
5.928,-73.678
6.797,-73.154
6.802,-73.125
6.795,-73.225
6.784,-73.094
7.323,-73.760
6.829,-73.182
6.782,-73.174
6.780,-73.163
6.727,-73.127
6.831,-73.191
6.830,-73.141
6.773,-73.147
6.799,-73.157
6.817,-73.177
6.767,-73.124
6.804,-73.215
6.781,-73.152
6.777,-73.166
6.802,-73.109
6.683,-73.102
6.894,-73.065
6.791,-73.117
6.773,-73.166
6.708,-73.166
6.794,-73.150
6.749,-73.120
6.785,-73.058
6.809,-73.141
6.776,-73.141
6.750,-73.134
6.781,-73.088
6.873,-72.981
6.745,-73.119
6.781,-73.121
5.936,-73.576
6.374,-73.627
6.795,-73.134
6.812,-73.115
6.661,-73.140
6.814,-73.137
6.807,-73.099
6.297,-73.607
6.846,-73.155
6.687,-73.078
6.814,-73.014
6.804,-73.126
6.762,-73.535
6.763,-73.139
6.754,-73.205
6.804,-73.042
6.775,-73.156
6.786,-73.125
6.813,-73.159
6.549,-73.506
7.076,-73.228
6.785,-73.093
6.842,-73.079
6.799,-73.004
6.777,-72.999
6.818,-73.145
6.463,-74.002
6.804,-72.987
7.462,-73.214
6.775,-73.161
